"SerialNumber","Name","Desc"
"Int32","String","String"
"3001","그을림","{Duration}턴간 지속 시간 x 2({Amount})만큼 데미지를 받습니다."
"3002","실명","{Duration}턴간 30%의 확률로 공격이 빗나갑니다."
"3003","가시","{Duration}턴간 공격을 받을 때마다 3만큼의 데미지를 반사합니다."
"3004","닌자의 축복","{Duration}턴간 수리검 공격의 데미지를 1만큼 올린다."
"3005","반사","{Duration}턴간 {Amount}만큼의 데미지를 반사합니다."
"3006","정신 집중","다음 턴, {Amount}만큼의 마력을 추가로 획득합니다."
"3007","현상금","다음 턴, 사용한 스킬 심볼 개수 * 2만큼의 돈을 획득한다. ({Amount})"
"3008","폭식","{Duration}턴간 적을 쓰러뜨릴 때 마다 체력을 5 회복한다."
"3009","축복","{Status}가 매턴 {Amount}만큼 추가됩니다."
"3010","지원","매 전투 시작 시 {Amount}만큼의 돈이 지급됩니다."
"3011","술의 저주","화면이 비틀립니다."
"3012","빙결","{Duration}턴간 데미지가 75%가 됩니다."
"3013","힘","{Amount}만큼 공격력이 상승합니다."
"3014","흡혈","공격 시 공격력의 1/3만큼 피를 회복합니다."
"3015","약탈","공격 시 5 - 10만큼 돈을 훔칩니다."
"3016","발화성","공격을 받을 때 50%의 확률로 적에게 '그을림'을 부여합니다."
"3017","바람","죽을 경우 플레이어의 '그을림'을 5만큼 제거합니다."
