"Korean","Japanese","English","Chinese","German","French","Russian"
"{Duration}턴간 지속 시간 x 2({Amount})만큼 데미지를 받습니다.","{Duration}ターン間持続時間 x 2({Amount})だけダメージを受けます。","You take damage equal to duration x 2 ({Amount}) for {Duration} turns.","你将受到持续{Duration}回合的伤害，伤害值为持续时间×2（{Amount}）。","Du erleidest Schaden in Höhe der Dauer x 2 ({Betrag}) für {Dauer} Runden.","Vous subissez des dégâts égaux à la durée x 2 ({Montant}) pendant {Durée} tours.","Вы получаете урон, равный длительности x 2 ({Количество}) в течение {Длительность} ходов."
"{Duration}턴간 30%의 확률로 공격이 빗나갑니다.","{Duration}ターン間30%の確率で攻撃が外れます。","{Duration} There is a 30% chance that the attack will miss during the turn.","{持续时间} 在本回合中，攻击有 30% 的概率落空。","{Dauer} Es besteht eine 30%ige Chance, dass der Angriff während der Runde fehlschlägt.","{Durée} Il y a 30 % de chances que l'attaque rate sa cible pendant ce tour.","{Длительность} Существует 30% вероятность того, что атака промахнется во время хода."
"{Duration}턴간 공격을 받을 때마다 3만큼의 데미지를 반사합니다.","{Duration}ターン間攻撃を受けるたびに3つのダメージを反射します。","{Duration} Reflects 3 damage whenever attacked during turns.","【持续时间】回合内受到攻击时反弹3点伤害。","{Dauer} Reflektiert 3 Schadenspunkte, wenn ihr während eurer Züge angegriffen werdet.","{Durée} Inflige 3 dégâts à chaque attaque subie pendant les tours.","{Длительность} Отражает 3 единицы урона при каждой атаке во время ходов."
"수리검 공격의 데미지를 {Amount}만큼 올린다.","修理剣攻撃のダメージを{Amount}だけ上げる。","Increases the damage of shuriken attacks by {Amount}.","使手里剑攻击的伤害增加{数量}。","Erhöht den Schaden von Shuriken-Angriffen um {Amount}.","Augmente les dégâts des attaques de shurikens de {Montant}.","Увеличивает урон от сюрикеновых атак на {Количество}."
"{Duration}턴간 {Amount}만큼의 데미지를 반사합니다.","{Duration}ターン間{Amount}だけのダメージを反射します。","Reflects {Amount} damage for {Duration} turns.","反弹{Amount}点伤害，持续{Duration}回合。","Reflektiert {Amount} Schaden für {Duration} Runden.","Réfléchit les {Montant} dégâts pendant {Durée} tours.","Отражает {Количество} урона в течение {Длительность} ходов."
"다음 턴, {Amount}만큼의 마력을 추가로 획득합니다.","次のターン、{Amount}だけの魔力を追加で獲得します。","Next turn, gain an additional amount of magic power equal to {Amount}.","下一回合，获得额外魔法力，数值等于{Amount}。","Im nächsten Zug erhältst du eine zusätzliche Menge an magischer Kraft in Höhe von {Menge}.","Au prochain tour, gagnez une quantité supplémentaire de puissance magique égale à {Montant}.","В следующем ходу получите дополнительное количество магической силы, равное {Количество}."
"다음 턴, 사용한 스킬 심볼 개수 * 2만큼의 돈을 획득한다. ({Amount})","次のターン、使用したスキルシンボル数×２だけのお金を獲得する。 ({Amount})","On the next turn, gain money equal to the number of skill symbols used * 2. ({Amount})","下一回合，获得金额等于所用技能符号数量乘以 2 的金币。（{金额}）","Im nächsten Zug erhältst du Geld in Höhe der Anzahl der verwendeten Fertigkeitssymbole * 2. ({Betrag})","Au prochain tour, gagnez une somme d'argent égale à 2 fois le nombre de symboles de compétence utilisés. ({Montant})","На следующем ходу получите деньги, равные количеству использованных символов навыка * 2. ({Сумма})"
"{Duration}턴간 적을 쓰러뜨릴 때 마다 체력을 5 회복한다.","{Duration}ターン間敵を倒すたびに体力を5回復する。","Recover 5 HP for every turn you defeat an enemy.","每回合击败一名敌人，恢复5点生命值。","Für jede Runde, in der du einen Gegner besiegst, erhältst du 5 HP zurück.","Récupérez 5 PV à chaque tour où vous éliminez un ennemi.","Восстанавливайте 5 HP за каждый ход, в течение которого вы побеждаете врага."
"{Status}가 매턴 {Amount}만큼 추가됩니다.","{Status}は毎回{Amount}だけ追加されます。","{Status} is increased by {Amount} every turn.","每回合状态{Status}增加{Amount}。","{Status} wird jede Runde um {Amount} erhöht.","{Statut} est augmenté de {Montant} à chaque tour.","Статус {Amount} повышается на {Amount} каждый ход."
"매 전투 시작 시 {Amount}만큼의 돈이 지급됩니다.","毎戦闘開始時に{Amount}ほどのお金が支給されます。","You are paid {Amount} at the start of every battle.","每场战斗开始时，您将获得{金额}。","Sie erhalten zu Beginn jeder Schlacht eine Prämie von {Betrag}.","Vous êtes payé {Montant} au début de chaque bataille.","В начале каждого боя вам выплачивается {Сумма}."
"화면이 비틀립니다.","画面がねじれます。","The screen is distorted.","屏幕显示失真。","Das Bild ist verzerrt.","L'écran est déformé.","Изображение на экране искажено."
"{Duration}턴간 데미지가 75%가 됩니다.","{Duration}ターン間ダメージが75%になります。","{Duration} Damage becomes 75% for turns.","持续时间：伤害变为75%，持续若干回合。","{Dauer} Der Schaden wird für eine Runde auf 75 % reduziert.","{Durée} Les dégâts passent à 75% pendant les tours.","Длительность: Урон увеличивается до 75% на ходы."
"{Amount}만큼 공격력이 상승합니다.","{Amount}ほど攻撃力が上昇します。","Attack power increases by {Amount}.","攻击力增加{数量}。","Die Angriffskraft erhöht sich um {Betrag}.","La puissance d'attaque augmente de {Montant}.","Сила атаки увеличивается на {Количество}."
"공격 시 공격력의 1/3만큼 피를 회복합니다.","攻撃時に攻撃力の1/3だけ血を回復します。","Recovers HP equal to 1/3 of attack power when attacking.","攻击时回复相当于攻击力1/3的生命值。","Stellt bei einem Angriff HP in Höhe von 1/3 der Angriffskraft wieder her.","Récupère des PV équivalents à 1/3 de la puissance d'attaque lors d'une attaque.","Восстанавливает HP, равное 1/3 от силы атаки, при каждом ударе."
"공격 시 5 - 10만큼 돈을 훔칩니다.","攻撃時に5 - 10だけお金を盗みます。","Steals 5-10 money when attacking.","攻击时偷取 5-10 元。","Stiehlt bei einem Angriff 5-10 Geld.","Vole 5 à 10 pièces d'or lors d'une attaque.","Ворует 5-10 денег при нападении."
"공격을 받을 때 50%의 확률로 적에게 '그을림'을 부여합니다.","攻撃を受けると、50%の確率で敵に「切り」を付与します。","When attacked, there is a 50% chance to inflict 'Scorch' on the enemy.","受到攻击时，有 50% 的几率使敌人陷入“灼烧”状态。","Bei einem Angriff besteht eine 50%ige Chance, dem Gegner den Effekt „Versengen“ zuzufügen.","En cas d'attaque, il y a 50 % de chances d'infliger l'état « Brûlure » à l'ennemi.","При атаке существует 50% вероятность наложить на противника эффект «Ожог»."
"죽을 경우 플레이어의 '그을림'을 5만큼 제거합니다.","死ぬ場合は、プレイヤーの「切り取り」を5だけ削除します。","If the player dies, removes 5 'Scorched'.","如果玩家死亡，则移除 5 个“灼烧”标记。","Stirbt der Spieler, werden 5 „Versengt“ entfernt.","Si le joueur meurt, retire 5 « Brûlés ».","Если игрок умирает, с него снимаются 5 очков «Обожжённый»."
"적의 턴 시작 시 {Pos}이/가 없으면 쓰러진다.","敵のターン開始時に{Pos}が/がなければ倒れる。","If {Pos} is missing at the start of the enemy's turn, they fall down.","如果在敌方回合开始时 {Pos} 不存在，则敌方倒下。","Wenn {Pos} zu Beginn des gegnerischen Zuges fehlt, fallen sie um.","Si {Pos} est absent au début du tour de l'ennemi, celui-ci tombe.","Если в начале хода противника отсутствует {Pos}, он падает."
"{Duration}턴간 데미지가 {Amount}배가 됩니다.","{Duration}ターン間ダメージが{Amount}倍になります。","Damage is multiplied by {Amount} for {Duration} turns.","伤害值乘以{Amount}，持续{Duration}回合。","Der Schaden wird für {Dauer} Runden mit {Betrag} multipliziert.","Les dégâts sont multipliés par {Montant} pendant {Durée} tours.","Урон умножается на {Amount} в течение {Duration} ходов."
"매 턴 {Amount}만큼 방어를 얻습니다.","毎ターン{Amount}ほど防御を獲得します。","Gain defense equal to {Amount} every turn.","每回合获得等同于{数量}的防御力。","Erhalte jede Runde Verteidigungswerte in Höhe von {Amount}.","Gagnez une défense égale à {Montant} à chaque tour.","Получайте защиту, равную {Количество}, каждый ход."
"한 번의 공격으로 받는 데미지가 {Amount} 이상으로 받지 않습니다.","1回の攻撃で受けるダメージが{Amount}以上では受けません。","You will not take more than {Amount} damage from a single attack.","你单次攻击受到的伤害不会超过{Amount}点。","Du wirst durch einen einzelnen Angriff nicht mehr als {Amount} Schaden erleiden.","Vous ne subirez pas plus de {Amount} dégâts par attaque.","Вы не получите более {Amount} урона от одной атаки."
