"Korean","Japanese","English","Chinese","German","French","Russian"
"산을 돌아다니는 슬라임.
성인 남성이 힘을 줘서 끊어버릴 수 있다.
","山を巡るスライム。
大人の男性が力を与えて断つことができる。
","A slime roaming the mountains.

An adult male can break it by applying force.

","一只游荡在山间的史莱姆。

成年男性可以通过施力将其击碎。

","Ein Schleimwesen, das in den Bergen umherstreift.

Ein ausgewachsenes Männchen kann es mit Kraftaufwand zerbrechen.

","Une créature visqueuse errant dans les montagnes.

Un mâle adulte peut la briser en exerçant une force.

","Слизняк, бродящий по горам.

Взрослый самец может его уничтожить, применив силу.

"
"산을 돌아다니는 조금 큰 슬라임.
 평균 성인 남성의 명치까지 오는 크기를 가진다.","山を巡る少し大きなスライム。
 平均成人男性の名称まで来る大きさを持つ。","A slightly large slime roaming the mountains.

It reaches the solar plexus of an average adult male.","一种体型稍大的黏液生物在山间游荡。

它能到达成年男性平均体型的太阳神经丛。","Ein etwas größerer Schleim, der in den Bergen umherstreift.

Er reicht bis zum Solarplexus eines durchschnittlichen erwachsenen Mannes.","Une créature visqueuse assez grosse qui erre dans les montagnes.

Elle atteint le plexus solaire d'un homme adulte de taille moyenne.","Довольно крупное слизнячное существо, бродящее по горам.

Его размер достигает солнечного сплетения у среднестатистического взрослого мужчины."
"산을 돌아다니는 큰 슬라임.
사람을 잡아먹을 수 있을 정도의 큰 크기를 자랑한다.","山を巡る大きなスライム。
人を捕まえるのに十分な大きさを誇る。","A giant slime roaming the mountains.

It boasts a size large enough to eat a person.","一只巨大的史莱姆在山间游荡。

它的体型大到足以吞噬一个人。","Ein riesiger Schleim durchstreift die Berge.

Er ist so groß, dass er einen Menschen verschlingen kann.","Une créature visqueuse géante errant dans les montagnes.

Elle est suffisamment grande pour dévorer un être humain.","Гигантская слизь, бродящая по горам.

Её размеры позволяют ей съесть человека."
"저주가 들린 거목.
거대할 뿐 그다지 강하지 않다.","呪いが聞こえた巨木。
巨大なだけあまり強くない。","A cursed giant tree.

It is massive, but not particularly strong.","一棵被诅咒的巨树。

它体型庞大，但并不特别坚固。","Ein verfluchter Riesenbaum.

Er ist gewaltig, aber nicht besonders stabil.","Un arbre géant maudit.

Il est massif, mais pas particulièrement robuste.","Проклятое гигантское дерево.

Оно огромное, но не особенно крепкое."
"약하지만 특유의 차지 공격은 충분한 위협이 된다.","弱いが特有のチャージ攻撃は十分な脅威となる。","Although weak, its unique charge attack poses a significant threat.","虽然威力较弱，但其独特的蓄力攻击却构成重大威胁。","Obwohl sein einzigartiger Sturmangriff schwach ist, stellt er eine erhebliche Bedrohung dar.","Bien que faible, son attaque chargée unique représente une menace importante.","Несмотря на свою слабость, его уникальная атака с разбега представляет собой значительную угрозу."
"평범한 나약한 마족.
아군이 모일수록 진가를 발휘한다.","普通の弱い魔族。
味方が集まるほど真価を発揮する。","An ordinary, weak demon.

Its true value is revealed as allies gather.","一个普通的、弱小的恶魔。

随着盟友的集结，它的真正价值才得以展现。","Ein gewöhnlicher, schwacher Dämon.

Sein wahrer Wert offenbart sich, als sich Verbündete um ihn versammeln.","Un démon ordinaire et faible.

Sa véritable valeur se révèle lorsqu'il s'entoure d'alliés.","Обычный, слабый демон.

Его истинная ценность раскрывается, когда к нему присоединяются союзники."
"끈질긴 박쥐.
 가끔 돈을 훔치고 도망가니 주의.","粘り強いコウモリ。
 時々お金を盗んで逃げるので注意。","A persistent bat.

Be careful, as it sometimes steals money and runs away.","一只执着的蝙蝠。

小心，它有时会偷钱然后逃走。","Eine hartnäckige Fledermaus.

Vorsicht, sie stiehlt manchmal Geld und rennt weg.","Une chauve-souris tenace.

Attention, elle vole parfois de l'argent et s'enfuit.","Настойчивая летучая мышь.

Будьте осторожны, она иногда ворует деньги и убегает."
"몸이 쉽게 불타는 슬라임.
자칫 공격하다가는 화상을 겪을 수 있다.","体が簡単に燃えるスライム。
やがて攻撃していくというやけどを受けることができる。","Slime that catches fire easily.

You could suffer burns if you attack it carelessly.","易燃的黏液。

如果不小心攻击它，可能会被烧伤。","Schleim, der leicht Feuer fängt.

Bei unvorsichtigem Umgang kann man sich Verbrennungen zuziehen.","Une substance visqueuse qui s'enflamme facilement.

Vous risquez des brûlures si vous l'attaquez sans précaution.","Слизь, которая легко воспламеняется.

При неосторожном нападении на неё можно получить ожоги."
"발화성 슬라임과 공생하는 생명체 
발화성 슬라임의 체력을 회복시켜준다.","発火性スライムと共生する生命体 
発火性スライムの体力を回復させてくれる。","A creature that lives in symbiosis with flammable slime. Restores the stamina of flammable slime.","一种与易燃黏液共生的生物。能够恢复易燃黏液的耐力。","Ein Wesen, das in Symbiose mit brennbarem Schleim lebt. Stellt die Ausdauer des brennbaren Schleims wieder her.","Une créature vivant en symbiose avec une substance visqueuse inflammable. Restaure l'endurance de cette substance.","Существо, живущее в симбиозе с легковоспламеняющейся слизью. Восстанавливает выносливость легковоспламеняющейся слизи."
"악마의 형상을 띄는 돌맹이 
어느 순간인지 자아가 생겼다.","悪魔の形をした石 
どの瞬間なのか自我ができた。","At some point, a stone with the shape of a devil developed a self.","在某个时刻，一块形状像魔鬼的石头产生了自我意识。","Irgendwann entwickelte ein Stein in Form eines Teufels ein Selbst.","À un certain moment, une pierre en forme de diable a développé une conscience de soi.","В какой-то момент камень, имеющий форму дьявола, обрёл собственное «я»."
