"Korean","Japanese","English","Chinese","German","French","Russian"
"농부와의 만남","農家との出会い","Meeting with a Farmer","与农民会面","Treffen mit einem Landwirt","Rencontre avec un agriculteur","Встреча с фермером"
"당신은 길을 가던 중 자신의 작물을 팔러 떠나는 농부와 마주쳤습니다.\n농부는 자신의 농작물을 지키기 위해 동행을 요청합니다.","あなたは途中で自分の作物を売りに出て行く農家に直面しました。","While walking along the road, you encountered a farmer leaving to sell his crops. The farmer asks to accompany you to protect his crops.","你沿着路走着，遇到一位正要出门卖庄稼的农民。农民请求你陪他一起去，帮他保护庄稼。","Während Ihres Spaziergangs begegneten Sie einem Bauern, der gerade seine Ernte verkaufen wollte. Der Bauer bat Sie, ihn zu begleiten, um seine Ernte zu schützen.","En marchant le long de la route, vous avez croisé un agriculteur qui partait vendre sa récolte. Il vous a demandé de l'accompagner pour protéger ses cultures.","Идя по дороге, вы встретили фермера, выходящего продавать свой урожай. Фермер предложил вам пойти с ним, чтобы защитить его посевы."
"동행한다.\n(<color=green>50G 획득</color> <color=red>단, 50%의 확률로 슬라임무리와 만난다.</color>)","同行する。\n(<color=green>50G獲得</color> <color=red>ただし、50%の確率でスライム群れと出会う。</color>)","Accompany.\n(<color=green>Gain 50G</color> <color=red>However, there is a 50% chance of encountering a slime swarm.</color>)","陪伴。\n（<color=green>获得 50G</color> <color=red>但是，有 50% 的几率遭遇史莱姆群。</color>）","Begleite.\n(<color=green>Gewinne 50G</color> <color=red>Es besteht jedoch eine 50%ige Chance, auf einen Schleimschwarm zu treffen.</color>)","Accompagnez.\n(<color=green>Gagnez 50G</color> <color=red>Cependant, il y a 50 % de chances de rencontrer un essaim de slime.</color>)","Сопровождайте.\n(<color=green>Получите 50G</color> <color=red>Однако существует 50% вероятность встретить рой слизней.</color>)"
"그대로 지나친다.","そのまま通り過ぎる。","It just passes by.","它就这么过去了。","Es zieht einfach vorbei.","Ça passe simplement.","Оно просто проходит мимо."
"이런!, 우연히도 슬라임 무리와 마주쳤습니다.","こんな！、偶然にもスライムの群れに遭遇しました。","Oh no! I accidentally ran into a group of slimes.","糟糕！我不小心撞上了一群史莱姆。","Oh nein! Ich bin versehentlich in eine Gruppe Schleime gestoßen.","Oh non ! J'ai accidentellement heurté un groupe de slimes.","О нет! Я случайно наткнулся на группу слизней."
"전투한다.","戦闘する。","Fight.","斗争。","Kämpfen.","Lutte.","Драться."
"다행히도 당신은 아무것과도 마주치지 않았습니다.","幸いなことに、あなたは何にも遭遇しませんでした。","Fortunately, you didn't encounter anything.","幸好你没有遇到任何问题。","Zum Glück ist Ihnen nichts begegnet.","Heureusement, vous n'avez rien rencontré.","К счастью, вы ни с чем не столкнулись."
"앞으로 나아간다.","先に進む。","Move forward.","继续前进。","Vorwärts.","Avancer.","Двигайтесь вперед."
"마법사의 유혹","魔法使いの誘惑","The Wizard's Temptation","巫师的诱惑","Die Versuchung des Zauberers","La tentation du magicien","Искушение волшебника"
"당신이 모험을 계속하던 중 마법사가 눈 앞에 나타나 제안을 합니다. ""나에게 피를 줘... 네, 네 피를 준다면 엄청난 보상을 약속하지.""(<color=red>최대 체력 - 10</color>)","あなたが冒険を続けている間、ウィザードが目の前に現れ、提案をします。 「私に血を与える…はい、あなたの血を与えるならば、莫大な報酬を約束しない」（<color=red>最大体力 - 10</color>）","As you continue your adventure, a wizard appears before you and makes an offer. ""Give me your blood... Yes, if you give me your blood, I promise a huge reward."" (Max HP - 10)","冒险途中，一位巫师出现在你面前，提出一个条件：“把你的血给我……没错，如果你把血给我，我保证给你丰厚的报酬。”（最大生命值 - 10）","Während du dein Abenteuer fortsetzt, erscheint ein Zauberer vor dir und unterbreitet dir ein Angebot: „Gib mir dein Blut … Ja, wenn du mir dein Blut gibst, verspreche ich dir eine gewaltige Belohnung.“ (Max. LP – 10)","Au fil de votre aventure, un magicien apparaît devant vous et vous fait une proposition : « Donnez-moi votre sang… Oui, si vous me donnez votre sang, je vous promets une récompense immense. » (PV max. : 10)","По мере продолжения вашего приключения перед вами появляется волшебник и делает предложение. «Отдай мне свою кровь... Да, если ты отдашь мне свою кровь, я обещаю огромную награду». (Максимальное количество HP - 10)"
"<color=green>다재다능</color>을 획득한다.
(모든 스탯을 <color=red>+2</color>시켜준다.)
","<color=green>多様性</color>を獲得する。
（すべてのステータスを<color=red>+2</color>してください。）
","<color=green>Gain Versatile</color>.

(Increases all stats by <color=red>+2</color>.)

","获得“多才多艺”能力。

（所有属性提升2点。）

","<color=green>Vielseitigkeit erhalten</color>

(Erhöht alle Werte um <color=red>+2</color>.)

","<color=green>Gagne en polyvalence</color>.

(Augmente toutes les statistiques de <color=red>+2</color>.)

","<color=green>Получите универсальность</color>.

(Увеличивает все характеристики на <color=red>+2</color>.)


"
"<color=yellow>100G</color>를 획득한다.
","<color=yellow>100G</color>を獲得する。
","Obtain <color=yellow>100G</color>.

","获取 100G。

","Erhalten Sie <color=yellow>100 g</color>.
...","Obtenez <color=yellow>100G</color>.

","Получите <color=yellow>100G</color>.

"
"그대로 떠난다.","そのまま去る。","I leave just as I am.","我原样离开。","Ich gehe, so wie ich bin.","Je pars tel que je suis.","Я ухожу таким, какой я есть."
"당신은 약간의 아쉬움을 남긴채 그자리에서 빠져나왔습니다.","あなたは少し物足りなさを残したままその場から抜け出しました。","You left the place with a slight sense of regret.","你离开时带着一丝遗憾。","Du verließest den Ort mit einem leichten Gefühl des Bedauerns.","Vous avez quitté les lieux avec un léger sentiment de regret.","Вы покинули это место с лёгким чувством сожаления."
"닫기","閉じる","close","关闭","schließen","fermer","закрывать"
