"Korean","Japanese","English","Chinese","German","French","Russian"
"게임을 시작하기 전 직업을 먼저 선택합니다.","ゲームを始める前に仕事を最初に選択してください。","You choose a profession before starting the game.","在游戏开始前，你需要选择一个职业。","Du wählst einen Beruf, bevor du das Spiel beginnst.","Vous choisissez une profession avant de commencer le jeu.","Перед началом игры вы выбираете профессию."
"여기는 처음 가지고 시작할 심볼을 보여주는 화면입니다.","これは、最初に始めるシンボルを示す画面です。","This is the screen showing the initial symbol you will start with.","这是显示您开始时使用的初始符号的屏幕。","Dies ist der Bildschirm, der das Startsymbol anzeigt.","Voici l'écran affichant le symbole initial avec lequel vous commencerez.","На этом экране отображается начальный символ, с которого вы начнете."
"심볼의 대한 정보는 마우스 오른쪽 버튼으로 확인 할 수 있습니다.","シンボルの情報は右クリックで確認できます。","You can check information about the symbol by right-clicking.","您可以右键单击该符号查看相关信息。","Sie können Informationen zum Symbol durch einen Rechtsklick abrufen.","Vous pouvez consulter les informations relatives au symbole en cliquant dessus avec le bouton droit.","Информацию о символе можно посмотреть, щелкнув правой кнопкой мыши."
"추가로 조건이 나오는 심볼은 마우스 휠로 효과를 볼 수 있습니다.","さらに条件が出るシンボルは、マウスホイールで効果を見ることができます。","Additionally, you can use the mouse wheel to view the effects of the symbols that display conditions.","此外，您还可以使用鼠标滚轮来查看显示条件的符号的效果。","Zusätzlich können Sie mit dem Mausrad die Auswirkungen der Symbole anzeigen, die Zustände darstellen.","De plus, vous pouvez utiliser la molette de la souris pour visualiser les effets des symboles qui affichent les conditions.","Кроме того, вы можете использовать колесико мыши для просмотра эффектов символов, отображающих условия."
"마음에 드는 직업을 골라 시작해보세요","お気に入りの仕事を選び始めましょう","Choose a job you like and get started.","选择你喜欢的工作，然后开始工作。","Such dir einen Job aus, der dir gefällt, und leg los.","Choisissez un emploi qui vous plaît et lancez-vous.","Выберите работу, которая вам нравится, и приступайте."
"축하드립니다! 레벨 업을 하셨군요?","おめでとうございます！レベルアップしましたか？","Congratulations! You leveled up?","恭喜！你升级了？","Herzlichen Glückwunsch! Du hast ein Level aufgestiegen?","Félicitations ! Vous avez passé au niveau supérieur ?","Поздравляем! Вы повысили свой уровень?"
"레벨 업을 할 때마다 룰렛의 공간이 1칸 늘어나고","レベルアップするたびにルーレットのスペースが1マス増えて","Every time you level up, the roulette space increases by 1, and","每次升级，轮盘上的数字就会增加1，","Bei jedem Levelaufstieg erhöht sich das Roulettefeld um 1, und","À chaque passage de niveau, la case de la roulette augmente de 1, et","При каждом повышении уровня игровое поле рулетки увеличивается на 1, и"
"특정 레벨에서는 새로운 심볼을 배우기도 합니다.","特定のレベルでは新しいシンボルを学ぶこともあります。","At certain levels, you may also learn new symbols.","在某些级别，你可能还会学习到新的符号。","Auf bestimmten Stufen lernen Sie möglicherweise auch neue Symbole kennen.","À certains niveaux, vous pourrez également apprendre de nouveaux symboles.","На определённых уровнях вы также можете изучить новые символы."
"열심히 적을 해치워 더욱 강해집시다!","一生懸命敵を傷つけ、さらに強くしましょう！","Let's work hard to defeat enemies and become stronger!","让我们努力打败敌人，变得更强大！","Lasst uns hart arbeiten, um unsere Feinde zu besiegen und stärker zu werden!","Travaillons dur pour vaincre nos ennemis et devenir plus forts !","Давайте усердно работать, чтобы победить врагов и стать сильнее!"
"안녕하십니까?","こんにちは？","hello?","你好？","Hallo?","Bonjour?","привет?"
"이 게임은 적들을 해치우며 \n탑을 오르는 게 목적입니다.","このゲームは敵を傷つけ、\n塔を登ることが目的です。","The goal of this game is to climb the tower while defeating enemies.","这个游戏的目标是在击败敌人的同时攀登高塔。","Ziel dieses Spiels ist es, den Turm zu erklimmen und dabei Feinde zu besiegen.","Le but de ce jeu est d'escalader la tour tout en vainquant les ennemis.","Цель этой игры — забраться на башню, попутно побеждая врагов."
"여기는 맵입니다.","ここはマップです。","This is a map.","这是一张地图。","Dies ist eine Karte.","Ceci est une carte.","Это карта."
"여기서 올라갈 스테이지를 한 번 선택해봅시다.","ここで上がるステージを一度選択してみましょう。","Let's choose a stage to go up from here.","让我们选择一个向上发展的阶段。","Lasst uns eine Stufe auswählen, von der aus wir weiter nach oben gehen wollen.","Choisissons une étape pour progresser à partir d'ici.","Давайте выберем этап, с которого будем двигаться дальше."
"이 창은 모든 적을 쓰려뜨렸을 때 나오는 \n보상창입니다.","このウィンドウは、すべての敵を倒したときに出る\n報酬ウィンドウです。","This is the reward window that appears when you defeat all enemies.","这是击败所有敌人后出现的奖励窗口。","Dies ist das Belohnungsfenster, das erscheint, wenn du alle Feinde besiegt hast.","Voici la fenêtre de récompense qui apparaît lorsque vous vainquez tous les ennemis.","Это окно с наградами, которое появляется после победы над всеми врагами."
